ID,Meno,Priezvisko,Rodne_cislo,Miesto_narodenia,Stav_uctu,Stav
2455,Ondrej,Dvorak,710821/2523,Humenne,397483,slobodny
2456,Barbora,Vesela,735322/7432,Levice,494662,vydaty
2457,Ondrej,Simek,790921/4719,Poprad,898934,slobodny
2458,Zuzana,Muskova,935205/5895,Snina,683957,vydaty
2459,Martin,Novak,671116/4666,Komarno,764430,slobodny
2460,Simona,Rusnakova,705226/6632,Kosice,465263,vydaty
2461,Ondrej,Kubik,640822/2275,Snina,298376,slobodny
2462,Petra,Vesela,705512/5214,Presov,813376,vydaty
2463,Radoslav,Rusnak,900213/3205,Presov,420518,slobodny
2464,Ivana,Cerna,855316/1067,Martin,886771,vydaty
2465,Martin,Fabian,550616/1042,Martin,582467,slobodny
2466,Jana,Cerna,885113/2904,Humenne,55679,vydaty
2467,Tomas,Novak,610715/3323,Zilina,574043,slobodny
2468,Ivana,Fabianova,635124/5652,Bratislava,230136,vydaty
2469,Radoslav,Predajniansky,990120/6335,Snina,42168,slobodny
2470,Petra,Urbanova,705323/4541,Bratislava,145719,vydaty
2471,Ondrej,Bednar,910201/7306,Poprad,123482,slobodny
2472,Sandra,Dvorakova,586010/7259,Presov,936816,vydaty
2473,Ondrej,Simek,640921/5433,Bardejov,507357,slobodny
2474,Barbora,Kucerova,836220/9317,Kosice,723049,vydaty
2475,Martin,Kubik,880102/5952,Poprad,114497,slobodny
2476,Barbora,Kucerova,525328/1744,Tvrdosin,550492,vydaty
2477,Tomas,Novak,680821/3121,Trnava,49375,slobodny
2478,Lucia,Simekova,655327/6290,Zilina,600247,vydaty
2479,Filip,Novak,711018/1224,Komarno,595023,slobodny
2480,Veronika,Cerna,775616/3831,Zvolen,500804,vydaty
2481,Jan,Kubik,760714/6928,Poprad,737963,slobodny
2482,Katerina,Novakova,585926/5817,Nitra,19697,vydaty
2483,Martin,Marko,940505/8241,Kosice,242431,slobodny
2484,Veronika,Bednarova,825309/2770,Poprad,274111,vydaty
2485,Jan,Bednar,720708/6064,Martin,450360,slobodny
2486,Veronika,Kucerova,995419/6755,Senec,283735,vydaty
2487,Richard,Fabian,650508/6473,Tvrdosin,673192,slobodny
2488,Zuzana,Bednarova,555102/1321,Zvolen,322257,vydaty
2489,Marek,Fabian,840324/4351,Snina,532867,slobodny
2490,Barbora,Simekova,545824/4047,Trencin,953962,vydaty
2491,Radoslav,Bednar,891009/5783,Bardejov,813430,slobodny
2492,Sandra,Kucerova,525427/7013,Levice,87267,vydaty
2493,Tomas,Urban,660608/3937,Zilina,378365,slobodny
2494,Ivana,Urbanova,835719/6138,Tvrdosin,542183,vydaty
2495,Radoslav,Muska,960821/5084,Kosice,207421,slobodny
2496,Zuzana,Kubikova,865609/3432,Bardejov,621061,vydaty
2497,Martin,Fabian,820410/7389,Zilina,944367,slobodny
2498,Ivana,Vargova,555517/8559,Poprad,566639,vydaty
2499,Marek,Kubik,721126/4321,Poprad,492684,slobodny
2500,Veronika,Simekova,626211/6570,Snina,696852,vydaty
2501,Radoslav,Urban,951116/9305,Trnava,71800,slobodny
2502,Simona,Vesela,825307/1520,Tvrdosin,489208,vydaty
2503,Richard,Varga,760105/7824,Zilina,181058,slobodny
2504,Petra,Kubikova,805819/7403,Trencin,932612,vydaty
2505,Peter,Horvath,900616/8312,Trnava,726563,slobodny
2506,Simona,Vargova,715802/3189,Poprad,971811,vydaty
2507,Juraj,Marko,520413/3913,Tvrdosin,452280,slobodny
2508,Simona,Vargova,885311/1704,Senec,823544,vydaty
2509,Ondrej,Marko,770312/2480,Presov,67393,slobodny
2510,Sandra,Cerna,736209/5952,Martin,647600,vydaty
2511,Martin,Varga,741017/2446,Nitra,18132,slobodny
2512,Petra,Fabianova,825207/2255,Svidnik,931908,vydaty
2513,Jan,Simek,921210/7673,Bardejov,238209,slobodny
2514,Petra,Kucerova,966005/4375,Svidnik,677856,vydaty
2515,Richard,Bednar,990209/1537,Martin,862570,slobodny
2516,Veronika,Vesela,875210/4804,Trencin,447990,vydaty
2517,Martin,Fabian,970811/9217,Bratislava,179798,slobodny
2518,Sandra,Markova,535424/5052,Humenne,856904,vydaty
2519,Martin,Kucera,690203/6379,Trencin,522204,slobodny
2520,Sandra,Rusnakova,855628/7055,Nitra,526216,vydaty
2521,Filip,Kucera,981225/5129,Tvrdosin,404235,slobodny
2522,Ivana,Dvorakova,786012/6929,Trencin,667850,vydaty
2523,Peter,Kubik,991228/9400,Levice,127140,slobodny
2524,Ivana,Bednarova,675411/1849,Levice,35804,vydaty
2525,Juraj,Varga,831024/6710,Presov,93151,slobodny
2526,Jana,Cerna,625705/7197,Bratislava,607141,vydaty
2527,Marek,Marko,570112/8333,Senec,987405,slobodny
2528,Barbora,Vargova,545222/2349,Poprad,104827,vydaty
2529,Juraj,Simek,690314/3457,Levice,159285,slobodny
2530,Veronika,Muskova,775324/7236,Trnava,541258,vydaty
2531,Radoslav,Kucera,661228/9843,Komarno,605828,slobodny
2532,Ivana,Urbanova,586024/8602,Martin,955116,vydaty
2533,Filip,Kucera,530628/3249,Snina,581991,slobodny
2534,Jana,Predajnianska,575314/6933,Komarno,654076,vydaty
2535,Richard,Kubik,741122/1243,Snina,381740,slobodny
2536,Ivana,Cerna,655826/6210,Tvrdosin,725599,vydaty
2537,Richard,Dvorak,831120/1187,Senec,367827,slobodny
2538,Barbora,Muskova,686111/3309,Svidnik,41947,vydaty
2539,Martin,Horvath,531013/8700,Senec,504918,slobodny
2540,Sandra,Bednarova,725225/8151,Trnava,409270,vydaty
2541,Juraj,Muska,690615/9093,Zvolen,479882,slobodny
2542,Simona,Dvorakova,925920/9200,Nitra,289117,vydaty
2543,Martin,Rusnak,610819/3772,Kosice,70627,slobodny
2544,Petra,Markova,535501/7347,Presov,28416,vydaty
2545,Juraj,Horvath,910122/9364,Humenne,369170,slobodny
2546,Simona,Markova,856111/1922,Tvrdosin,782051,vydaty
2547,Filip,Cerny,890723/5993,Presov,796376,slobodny
2548,Veronika,Cerna,725827/5283,Komarno,868772,vydaty
2549,Tomas,Marko,590510/4359,Humenne,730337,slobodny
2550,Petra,Vesela,675906/3296,Senec,579797,vydaty
2551,Richard,Cerny,930725/4274,Zvolen,397551,slobodny
2552,Barbora,Novakova,685602/8764,Senec,236828,vydaty
2553,Richard,Horvath,990911/6028,Levice,512213,slobodny
2554,Sandra,Kucerova,655311/8754,Senec,701238,vydaty
2555,Juraj,Muska,730415/6787,Komarno,158325,slobodny
2556,Katerina,Kucerova,586115/3587,Bratislava,454892,vydaty
2557,Tomas,Varga,800111/1761,Nitra,702655,slobodny
2558,Simona,Kubikova,546021/8312,Humenne,561447,vydaty
2559,Peter,Horvath,570814/6227,Martin,684835,slobodny
2560,Katerina,Cerna,535102/8532,Komarno,418225,vydaty
2561,Tomas,Novak,960704/8164,Kosice,384363,slobodny
2562,Ivana,Novakova,595514/6922,Bardejov,698245,vydaty
2563,Juraj,Rusnak,730418/4560,Levice,439614,slobodny
2564,Veronika,Bednarova,535320/8610,Kosice,625045,vydaty
2565,Juraj,Rusnak,600113/6372,Komarno,250042,slobodny
2566,Simona,Cerna,555304/2165,Zvolen,838794,vydaty
2567,Peter,Fabian,610914/3738,Komarno,529060,slobodny
2568,Veronika,Simekova,975710/5440,Nitra,718229,vydaty
2569,Radoslav,Fabian,530117/4182,Levice,620757,slobodny
2570,Simona,Kubikova,545206/8602,Trencin,619709,vydaty
2571,Filip,Muska,791221/4716,Trnava,570721,slobodny
2572,Simona,Predajnianska,605904/5045,Bratislava,226305,vydaty
2573,Martin,Marko,780302/9763,Trencin,35001,slobodny
2574,Ivana,Markova,735325/3418,Bardejov,708473,vydaty
2575,Peter,Fabian,730713/6083,Levice,735889,slobodny
2576,Lucia,Dvorakova,635408/1684,Martin,287649,vydaty
2577,Peter,Bednar,980921/3058,Svidnik,48618,slobodny
2578,Simona,Urbanova,585906/5054,Kosice,835895,vydaty
2579,Martin,Novak,660625/3658,Komarno,361503,slobodny
2580,Lucia,Muskova,735205/7650,Snina,551932,vydaty
2581,Filip,Bednar,780507/5972,Trencin,721452,slobodny
2582,Ivana,Simekova,765420/1068,Martin,153766,vydaty
2583,Radoslav,Rusnak,840801/9481,Snina,484744,slobodny
2584,Simona,Kucerova,635228/7509,Komarno,412756,vydaty
2585,Radoslav,Dvorak,620613/4470,Levice,615120,slobodny
2586,Ivana,Predajnianska,966016/8903,Nitra,116633,vydaty
2587,Peter,Simek,690209/9546,Trencin,276010,slobodny
2588,Simona,Vargova,915314/8789,Trencin,142684,vydaty
2589,Juraj,Cerny,960413/8697,Poprad,549338,slobodny
2590,Simona,Kubikova,905822/3494,Nitra,497774,vydaty
2591,Marek,Cerny,521221/2079,Trnava,243655,slobodny
2592,Zuzana,Horvathova,515227/7674,Martin,325325,vydaty
2593,Peter,Muska,751223/6261,Levice,724882,slobodny
2594,Lucia,Markova,995926/1470,Poprad,129105,vydaty
2595,Ondrej,Kubik,650907/8415,Bardejov,734551,slobodny
2596,Petra,Bednarova,615927/2847,Komarno,336229,vydaty
2597,Marek,Kucera,520614/8441,Kosice,533496,slobodny
2598,Lucia,Simekova,535817/9216,Svidnik,961745,vydaty
2599,Jan,Fabian,710812/5702,Levice,769763,slobodny
2600,Sandra,Simekova,725115/9613,Komarno,262172,vydaty
2601,Radoslav,Varga,880911/4074,Zvolen,978831,slobodny
2602,Jana,Muskova,645408/1507,Presov,569017,vydaty
2603,Peter,Cerny,980615/1136,Trnava,677426,slobodny
2604,Jana,Predajnianska,995728/9095,Bardejov,552650,vydaty
2605,Richard,Fabian,680912/2466,Levice,574400,slobodny
2606,Sandra,Dvorakova,565716/9166,Tvrdosin,603794,vydaty
2607,Richard,Horvath,540303/3470,Zilina,950672,slobodny
2608,Lucia,Simekova,525513/8880,Poprad,510617,vydaty
2609,Filip,Simek,940528/3532,Poprad,76633,slobodny
2610,Lucia,Simekova,785924/1898,Kosice,551309,vydaty
2611,Peter,Novak,921015/9904,Zvolen,392607,slobodny
2612,Jana,Dvorakova,816219/2504,Bardejov,838695,vydaty
2613,Jan,Marko,531205/1842,Zilina,274501,slobodny
2614,Zuzana,Muskova,726128/3030,Trencin,362062,vydaty
2615,Richard,Novak,800519/5357,Tvrdosin,517059,slobodny
2616,Jana,Kucerova,516224/1290,Komarno,786243,vydaty
2617,Jan,Fabian,550412/3016,Humenne,491979,slobodny
2618,Sandra,Vargova,545202/8939,Komarno,781233,vydaty
2619,Juraj,Kucera,740928/3361,Nitra,670107,slobodny
2620,Veronika,Novakova,635517/3824,Trencin,779946,vydaty
2621,Juraj,Marko,610704/6385,Tvrdosin,72797,slobodny
2622,Sandra,Horvathova,855212/2668,Bardejov,329911,vydaty
2623,Radoslav,Fabian,610919/6439,Levice,529866,slobodny
2624,Simona,Novakova,775420/2834,Trnava,566777,vydaty
2625,Jan,Urban,590503/4866,Humenne,235336,slobodny
2626,Katerina,Kubikova,605718/4322,Nitra,577432,vydaty
2627,Ondrej,Novak,960225/4356,Bardejov,388250,slobodny
2628,Petra,Novakova,636025/5875,Tvrdosin,592965,vydaty
2629,Martin,Kubik,640112/2042,Nitra,939639,slobodny
2630,Katerina,Markova,855926/6881,Zilina,132458,vydaty
2631,Juraj,Rusnak,830606/5283,Presov,315612,slobodny
2632,Zuzana,Cerna,935925/4913,Bardejov,992296,vydaty
2633,Marek,Cerny,931003/1424,Senec,241984,slobodny
2634,Sandra,Horvathova,795924/9868,Martin,460814,vydaty
2635,Martin,Bednar,710619/5012,Trencin,603102,slobodny
2636,Sandra,Urbanova,525219/5608,Levice,113411,vydaty
2637,Filip,Varga,600923/2048,Komarno,925568,slobodny
2638,Zuzana,Vargova,965907/8714,Trnava,590551,vydaty
2639,Jan,Kucera,580705/2170,Trnava,455897,slobodny
2640,Jana,Dvorakova,656215/1943,Komarno,83636,vydaty
2641,Radoslav,Simek,841118/5529,Poprad,994882,slobodny
2642,Katerina,Simekova,975928/3604,Bratislava,424784,vydaty
2643,Tomas,Fabian,650922/7163,Bardejov,845191,slobodny
2644,Sandra,Cerna,775326/9324,Martin,106484,vydaty
2645,Martin,Predajniansky,520606/8286,Zvolen,173712,slobodny
2646,Sandra,Fabianova,935710/7580,Trencin,185500,vydaty
2647,Radoslav,Varga,710815/9642,Kosice,222331,slobodny
2648,Simona,Kubikova,895206/5985,Poprad,333244,vydaty
2649,Richard,Novak,861214/8849,Presov,591409,slobodny
2650,Barbora,Fabianova,916204/2892,Humenne,634070,vydaty
2651,Jan,Horvath,791112/5186,Senec,862123,slobodny
2652,Zuzana,Simekova,775209/7312,Presov,744508,vydaty
2653,Radoslav,Dvorak,870621/4094,Trencin,693745,slobodny
2654,Veronika,Kubikova,705401/6493,Snina,236470,vydaty
2655,Juraj,Dvorak,970708/1622,Poprad,118942,slobodny
2656,Veronika,Rusnakova,565920/4412,Martin,206087,vydaty
2657,Tomas,Horvath,740519/6499,Zvolen,49731,slobodny
2658,Lucia,Dvorakova,725614/9184,Bratislava,27380,vydaty
2659,Radoslav,Predajniansky,961120/6562,Zilina,565983,slobodny
2660,Katerina,Bednarova,575512/4968,Senec,102115,vydaty
2661,Ondrej,Marko,521228/7186,Bratislava,267231,slobodny
2662,Petra,Bednarova,655824/7736,Nitra,77364,vydaty
2663,Filip,Muska,870328/9058,Senec,621973,slobodny
2664,Simona,Urbanova,655511/4769,Tvrdosin,991941,vydaty
2665,Jan,Simek,700728/3358,Humenne,491307,slobodny
2666,Petra,Predajnianska,705828/7659,Senec,416781,vydaty
2667,Ondrej,Kubik,821226/3629,Zvolen,226177,slobodny
2668,Katerina,Kucerova,995312/8309,Kosice,814599,vydaty
2669,Richard,Kubik,680409/2806,Trencin,759502,slobodny
2670,Jana,Urbanova,765413/5143,Svidnik,145569,vydaty
2671,Ondrej,Dvorak,680508/6161,Tvrdosin,671708,slobodny
2672,Zuzana,Urbanova,516210/2464,Humenne,407673,vydaty
2673,Martin,Dvorak,750820/8285,Bratislava,923551,slobodny
2674,Lucia,Fabianova,645807/4095,Bratislava,124824,vydaty
2675,Richard,Fabian,930725/1051,Zilina,509300,slobodny
2676,Petra,Dvorakova,915719/3695,Presov,539260,vydaty
2677,Martin,Predajniansky,970725/7132,Svidnik,696136,slobodny
2678,Veronika,Dvorakova,995420/5763,Trencin,394117,vydaty
2679,Marek,Varga,671120/3319,Tvrdosin,618764,slobodny
2680,Barbora,Muskova,725803/5793,Kosice,380221,vydaty
2681,Marek,Dvorak,671127/1411,Bardejov,551787,slobodny
2682,Ivana,Horvathova,725628/9818,Kosice,799999,vydaty
2683,Filip,Kubik,880308/2772,Bardejov,644509,slobodny
2684,Ivana,Cerna,835201/2905,Zilina,730356,vydaty
2685,Marek,Cerny,730216/7708,Trencin,435974,slobodny
2686,Veronika,Markova,865112/3832,Poprad,561295,vydaty
2687,Tomas,Kubik,520228/6072,Kosice,233224,slobodny
2688,Lucia,Markova,775725/8014,Poprad,962192,vydaty
2689,Richard,Simek,690924/4510,Komarno,579162,slobodny
2690,Lucia,Cerna,655604/8534,Tvrdosin,63655,vydaty
2691,Tomas,Bednar,780412/6482,Snina,375342,slobodny
2692,Veronika,Predajnianska,825319/4686,Zilina,579279,vydaty
2693,Ondrej,Urban,960711/5716,Senec,880732,slobodny
2694,Barbora,Predajnianska,945821/9616,Martin,964082,vydaty
2695,Ondrej,Kucera,790707/7703,Bardejov,88402,slobodny
2696,Veronika,Predajnianska,565626/7924,Trnava,25684,vydaty
2697,Ondrej,Kubik,900208/4850,Martin,234877,slobodny
2698,Sandra,Cerna,845528/4931,Poprad,523311,vydaty
2699,Radoslav,Cerny,770915/5315,Trnava,820524,slobodny
2700,Barbora,Predajnianska,975108/7644,Presov,332459,vydaty
2701,Filip,Vesely,991206/5565,Presov,153959,slobodny
2702,Lucia,Vesela,885307/3206,Poprad,878729,vydaty
2703,Martin,Muska,630824/6875,Humenne,597172,slobodny
2704,Veronika,Simekova,745114/6647,Svidnik,994201,vydaty
2705,Richard,Kubik,730910/3474,Levice,934575,slobodny
2706,Sandra,Bednarova,936028/6782,Senec,264164,vydaty
2707,Tomas,Marko,761017/8694,Trnava,89341,slobodny
2708,Veronika,Markova,845227/1458,Zvolen,141127,vydaty
2709,Richard,Horvath,710522/3126,Tvrdosin,537018,slobodny
2710,Barbora,Fabianova,696005/4667,Senec,219131,vydaty
2711,Juraj,Fabian,760213/9950,Zilina,117658,slobodny
2712,Simona,Vesela,635116/7173,Zvolen,849478,vydaty
2713,Tomas,Horvath,960808/7890,Svidnik,411498,slobodny
2714,Lucia,Markova,905605/8354,Humenne,354054,vydaty
2715,Radoslav,Varga,700407/5656,Senec,899936,slobodny
2716,Petra,Vargova,696209/1810,Levice,863055,vydaty
2717,Marek,Kubik,790328/4137,Tvrdosin,901291,slobodny
2718,Sandra,Horvathova,966226/6058,Martin,418444,vydaty
2719,Tomas,Cerny,740902/2621,Nitra,860299,slobodny
2720,Veronika,Dvorakova,915404/4289,Snina,810077,vydaty
2721,Richard,Dvorak,830320/7710,Nitra,653670,slobodny
2722,Veronika,Markova,845625/6183,Snina,808621,vydaty
2723,Peter,Varga,830911/9777,Levice,694325,slobodny
2724,Simona,Kubikova,656011/8235,Levice,317441,vydaty
2725,Juraj,Marko,640721/1404,Komarno,465074,slobodny
2726,Veronika,Fabianova,935206/1337,Senec,929242,vydaty
2727,Richard,Muska,590709/1177,Tvrdosin,632836,slobodny
2728,Barbora,Muskova,815305/2044,Bardejov,823216,vydaty
2729,Filip,Urban,850227/4304,Kosice,933849,slobodny
2730,Barbora,Markova,645511/6879,Senec,122656,vydaty
2731,Jan,Predajniansky,960124/9569,Zilina,769627,slobodny
2732,Lucia,Fabianova,765924/4783,Bardejov,284443,vydaty
2733,Filip,Kucera,660605/8953,Zilina,786840,slobodny
2734,Lucia,Horvathova,675214/3468,Svidnik,169828,vydaty
2735,Radoslav,Rusnak,811018/9174,Zilina,99769,slobodny
2736,Veronika,Rusnakova,545820/7620,Poprad,604089,vydaty
2737,Ondrej,Predajniansky,760205/9539,Humenne,612931,slobodny
2738,Sandra,Horvathova,675725/7258,Bardejov,308442,vydaty
2739,Radoslav,Vesely,740824/5302,Presov,104213,slobodny
2740,Veronika,Markova,685414/8048,Senec,944760,vydaty
2741,Jan,Predajniansky,860816/4079,Trencin,844178,slobodny
2742,Barbora,Urbanova,555117/6849,Nitra,23289,vydaty
2743,Radoslav,Dvorak,900602/3649,Presov,436449,slobodny
2744,Jana,Simekova,605327/2575,Zilina,725904,vydaty
2745,Tomas,Simek,770225/4864,Kosice,961724,slobodny
2746,Sandra,Predajnianska,835526/6622,Humenne,593746,vydaty
2747,Richard,Vesely,740406/6489,Senec,242904,slobodny
2748,Simona,Cerna,926218/7217,Nitra,75008,vydaty
2749,Tomas,Urban,941202/9278,Zvolen,641862,slobodny
2750,Simona,Rusnakova,915926/3739,Trencin,603780,vydaty
2751,Martin,Bednar,950614/7226,Komarno,816592,slobodny
2752,Lucia,Bednarova,865314/2419,Nitra,358473,vydaty
2753,Filip,Cerny,700901/5057,Bardejov,835017,slobodny
2754,Ivana,Vesela,726219/4230,Zilina,75527,vydaty
2755,Filip,Cerny,780302/8848,Svidnik,914795,slobodny
2756,Ivana,Horvathova,985315/8804,Bardejov,413581,vydaty
2757,Jan,Urban,700218/7629,Presov,975435,slobodny
2758,Veronika,Kubikova,565414/6538,Martin,784569,vydaty
2759,Radoslav,Bednar,671227/7222,Tvrdosin,240287,slobodny
2760,Simona,Horvathova,815601/4839,Senec,447286,vydaty
2761,Radoslav,Kucera,690628/5237,Nitra,853402,slobodny
2762,Jana,Kubikova,745824/8793,Presov,873652,vydaty
2763,Juraj,Simek,910517/8653,Snina,746327,slobodny
2764,Sandra,Urbanova,855505/4722,Martin,473896,vydaty
2765,Martin,Novak,660702/2148,Nitra,869547,slobodny
2766,Ivana,Vesela,535618/2994,Zvolen,221701,vydaty
2767,Ondrej,Bednar,571016/3981,Komarno,462799,slobodny
2768,Ivana,Urbanova,995201/4209,Bratislava,806748,vydaty
2769,Juraj,Bednar,791111/8740,Nitra,952777,slobodny
2770,Lucia,Dvorakova,705219/8282,Nitra,172941,vydaty
2771,Peter,Cerny,580203/4375,Kosice,887581,slobodny
2772,Katerina,Kucerova,895625/2997,Trencin,62996,vydaty
2773,Filip,Predajniansky,570722/8192,Levice,847495,slobodny
2774,Sandra,Predajnianska,996124/3183,Svidnik,464935,vydaty
2775,Richard,Horvath,621018/8305,Poprad,459303,slobodny
2776,Katerina,Urbanova,825517/7506,Presov,420840,vydaty
2777,Radoslav,Horvath,880105/5992,Poprad,560155,slobodny
2778,Veronika,Bednarova,675514/7416,Bardejov,49797,vydaty
2779,Marek,Varga,710307/6629,Trnava,366285,slobodny
2780,Petra,Simekova,515402/8838,Kosice,851853,vydaty
2781,Juraj,Marko,790721/8121,Bratislava,421282,slobodny
2782,Katerina,Fabianova,805817/2330,Presov,452607,vydaty
2783,Tomas,Horvath,631212/8422,Zilina,299142,slobodny
2784,Veronika,Dvorakova,676227/6640,Kosice,965365,vydaty
2785,Peter,Urban,781028/1130,Nitra,799960,slobodny
2786,Zuzana,Predajnianska,675525/4392,Snina,729557,vydaty
2787,Richard,Vesely,860806/5518,Presov,301148,slobodny
2788,Petra,Dvorakova,806003/3984,Bratislava,944170,vydaty
2789,Richard,Simek,661226/2142,Nitra,189594,slobodny
2790,Zuzana,Horvathova,716118/4170,Senec,338633,vydaty
2791,Radoslav,Urban,711015/7672,Senec,402551,slobodny
2792,Ivana,Bednarova,845719/8026,Zilina,593622,vydaty
2793,Peter,Varga,620122/5548,Presov,421519,slobodny
2794,Sandra,Markova,626206/9260,Bratislava,894672,vydaty
2795,Juraj,Bednar,960310/9385,Martin,773070,slobodny
2796,Simona,Urbanova,806023/7744,Zilina,100959,vydaty
2797,Martin,Muska,990324/6453,Tvrdosin,281607,slobodny
2798,Jana,Cerna,935718/6407,Trencin,840546,vydaty
2799,Filip,Dvorak,821217/8671,Trencin,925338,slobodny
2800,Zuzana,Bednarova,695420/2351,Bratislava,547104,vydaty
2801,Radoslav,Kucera,880606/3810,Bratislava,318946,slobodny
2802,Lucia,Simekova,885618/2261,Svidnik,533179,vydaty
2803,Martin,Fabian,570421/1199,Levice,504392,slobodny
2804,Sandra,Bednarova,915427/2763,Komarno,50258,vydaty
2805,Jan,Predajniansky,721023/3522,Levice,34949,slobodny
2806,Sandra,Rusnakova,816110/4876,Svidnik,573520,vydaty
2807,Peter,Kucera,550717/2318,Bardejov,475652,slobodny
2808,Katerina,Horvathova,996126/5412,Bardejov,180769,vydaty
2809,Tomas,Kubik,840220/1911,Zvolen,552675,slobodny
2810,Ivana,Novakova,615922/1662,Bardejov,798111,vydaty
2811,Peter,Predajniansky,640207/6835,Poprad,585284,slobodny
2812,Katerina,Fabianova,695609/8744,Levice,877546,vydaty
2813,Richard,Rusnak,850524/5725,Martin,965428,slobodny
2814,Petra,Kucerova,985908/2426,Kosice,211072,vydaty
2815,Filip,Kubik,510420/2057,Martin,342282,slobodny
2816,Zuzana,Horvathova,615103/3186,Trnava,553270,vydaty
2817,Ondrej,Marko,840921/8653,Bardejov,131237,slobodny
2818,Veronika,Urbanova,755218/3263,Snina,418297,vydaty
2819,Peter,Novak,690419/3051,Bratislava,531222,slobodny
2820,Jana,Bednarova,875819/4213,Presov,862347,vydaty
2821,Jan,Fabian,791023/6197,Svidnik,658248,slobodny
2822,Barbora,Horvathova,676205/3818,Snina,356114,vydaty
2823,Richard,Marko,940220/7457,Trencin,246387,slobodny
2824,Lucia,Cerna,945811/4147,Zilina,398788,vydaty
2825,Marek,Marko,930124/5825,Bardejov,401087,slobodny
2826,Jana,Vesela,546024/1780,Poprad,797281,vydaty
2827,Marek,Bednar,640110/1441,Bratislava,971177,slobodny
2828,Petra,Predajnianska,845115/8270,Snina,170313,vydaty
2829,Peter,Kucera,801214/2597,Svidnik,153757,slobodny
2830,Jana,Predajnianska,865524/1898,Nitra,841960,vydaty
2831,Ondrej,Horvath,681108/9716,Komarno,596631,slobodny
2832,Simona,Vesela,996123/5891,Trnava,219703,vydaty
2833,Juraj,Rusnak,631108/2114,Trencin,912435,slobodny
2834,Sandra,Kubikova,655715/1845,Bratislava,210617,vydaty
2835,Richard,Varga,700907/7187,Levice,862712,slobodny
2836,Veronika,Rusnakova,855426/3771,Snina,50550,vydaty
2837,Juraj,Urban,800606/6015,Komarno,449286,slobodny
2838,Petra,Horvathova,866208/2706,Svidnik,742291,vydaty
2839,Peter,Varga,690621/4698,Tvrdosin,227550,slobodny
2840,Barbora,Cerna,965808/3637,Martin,842340,vydaty
2841,Radoslav,Fabian,690314/9253,Bratislava,650517,slobodny
2842,Jana,Kubikova,795316/1472,Trnava,100341,vydaty
2843,Radoslav,Urban,730805/8331,Bardejov,183643,slobodny
2844,Simona,Horvathova,875303/2163,Bardejov,953589,vydaty
2845,Juraj,Horvath,510622/8779,Poprad,935810,slobodny
2846,Ivana,Predajnianska,795215/5240,Trnava,592381,vydaty
2847,Marek,Predajniansky,871113/8447,Senec,868083,slobodny
2848,Katerina,Rusnakova,715728/2399,Humenne,287833,vydaty
2849,Marek,Kucera,751107/2006,Senec,227396,slobodny
2850,Barbora,Vesela,725926/5952,Zilina,977937,vydaty
2851,Ondrej,Fabian,541206/7235,Kosice,256556,slobodny
2852,Barbora,Fabianova,805822/1996,Trnava,43546,vydaty
2853,Richard,Horvath,840420/6483,Nitra,779838,slobodny
2854,Petra,Vesela,685910/3175,Bardejov,234652,vydaty
2855,Marek,Vesely,910612/4303,Levice,763513,slobodny
2856,Jana,Vargova,536014/6492,Tvrdosin,365048,vydaty
2857,Filip,Kubik,540724/1326,Nitra,625735,slobodny
2858,Veronika,Rusnakova,705611/9232,Komarno,150966,vydaty
2859,Tomas,Fabian,861017/5470,Trencin,486610,slobodny
2860,Simona,Vargova,706220/5268,Poprad,641426,vydaty
2861,Juraj,Vesely,670508/7464,Levice,678243,slobodny
2862,Petra,Vesela,865822/6059,Bratislava,815375,vydaty
2863,Ondrej,Kubik,760212/5497,Poprad,114223,slobodny
2864,Petra,Kubikova,816120/2282,Martin,179351,vydaty
2865,Jan,Vesely,510213/5603,Trencin,415370,slobodny
2866,Petra,Predajnianska,775228/6223,Poprad,722379,vydaty
2867,Marek,Dvorak,780118/9500,Poprad,733928,slobodny
2868,Sandra,Fabianova,525102/9592,Kosice,365578,vydaty
2869,Richard,Urban,870413/3339,Zilina,90856,slobodny
2870,Veronika,Muskova,575703/8268,Zvolen,391456,vydaty
2871,Filip,Muska,890615/6634,Trnava,639756,slobodny
2872,Ivana,Markova,995908/5403,Levice,297478,vydaty
2873,Ondrej,Fabian,901107/8336,Poprad,715960,slobodny
2874,Ivana,Fabianova,855608/1445,Poprad,471720,vydaty
2875,Juraj,Kubik,960820/8107,Zvolen,654928,slobodny
2876,Lucia,Urbanova,745107/6407,Presov,805637,vydaty
2877,Juraj,Marko,680605/1187,Senec,361333,slobodny
2878,Veronika,Vesela,935419/4128,Nitra,990254,vydaty
2879,Peter,Kucera,671012/8897,Komarno,589920,slobodny
2880,Jana,Kubikova,935119/2488,Zilina,306097,vydaty
2881,Tomas,Kucera,641201/1910,Trencin,294691,slobodny
2882,Ivana,Cerna,725524/6928,Bratislava,388576,vydaty
2883,Martin,Urban,780818/1645,Presov,238995,slobodny
2884,Petra,Fabianova,645427/4923,Svidnik,766653,vydaty
2885,Peter,Fabian,841220/7825,Senec,458287,slobodny
2886,Ivana,Rusnakova,926226/2173,Komarno,567721,vydaty
2887,Martin,Simek,740607/8298,Kosice,863338,slobodny
2888,Jana,Horvathova,915423/5085,Nitra,240556,vydaty
2889,Radoslav,Dvorak,620221/6521,Tvrdosin,717462,slobodny
